	..17e7e6e3301399d31777d962e4660e0e5c36b00e
5b5051be9d1ecbda7a06eb2c91c3fe6297ed39a8	..2bcb1625d1722b0da31802a50393fccd0e8c2f39
76fa69f9641e2d110c7edeedd73a306c7f205ac2	..ad91d00a7d25834e4f762f519545dff5f3a63338
0376ca7a18e45c01c47a9140e0e189f547304b64	..1f42c7e788c97f1cd80cd1294885a8a32c635c89
3f25ea43394d6771d9237bcb81e7287f6e5d663e	..a795814bf8d7ca6dd339ea017dc7caf586a46abd
a893215c745726cad0dd9167198facff30be3502	..0a9cbf44876a297a6906583cbd7fa9ff324d5cb6
075ae39d256dbe91a206a53f0db249cfa6963640	..8ba6e887e8fd2ae6298912a511cfa6cc64144b63 & 23bc4ea45cf132d2c51c973d44d72df141d668d3
07ef756f0cb8e63920e68c18f6bde54ef872c1a2	..f492990c45d678e678023184851147e3e79da49f & 2fa4a5c6a5520dcd384356d4e02106de814260a0
36b547cb1f4dd3486fff9e924f923a2191339777	..adb0e065f5dbd2447f8cffb55ff5e708726a3022
7474a3c8db19a32f86be8e006bbdfd9063f08f6a	..87941f7640d5a86de06ab818a2277494b0149670
736106da3c40a108ea66282fb4f753200c58f229	..ed57f6fb1f6dd4752f22617c3d33c21a51446768
17d85a28f0b5039cf488f9d3c4445fb6b7c48727	..c65835e0e01d6bcd7bcce3844b33bc60174efe79
ab90d26b3ea218a92192592d77a690347c78a1ed	11d028d438c1d8e86e2afd8bba0399ba3486f31a
b52a14fbe790e6cb40384e437906b18ca1c12d1c	..c52b605518fe9c1b479c4ff52618f8e9736ac84d
